#{"t_start": 1716802849.8440201, "env_id": "None"}
r,l,t
-21634.709,184,3.776479
-22028.191,283,3.926203
-21420.184,147,3.993785
-22792.58,346,4.01583
-21723.604,222,4.298426
-22478.604,281,4.310936
-21618.787,173,4.542153
-22216.957,239,4.740819
-3074.774,500,4.817716
-22955.902,305,5.107216
-22109.023,221,5.1533
-22857.94,343,5.260234
-21308.836,134,5.455498
-22437.174,261,5.477253
-21122.191,108,5.625153
-22049.193,331,5.644179
-21909.637,198,5.766981
-21138.559,114,5.800529
-21336.557,125,5.801528
-20909.441,94,5.934312
-21386.336,152,6.003642
-21848.6,195,6.037712
-21103.922,110,6.195424
-21189.885,144,6.213873
-20625.57,72,6.315585
-21005.475,103,6.348182
-22393.139,308,6.370216
-20466.316,58,6.401749
-20660.74,73,6.45384
-20682.078,73,6.476888
-20804.826,87,6.537781
-20709.986,74,6.592898
-21203.934,136,6.652864
-21026.41,112,6.696899
-20846.447,91,6.716413
-20448.236,57,6.732076
-20350.506,47,6.759141
-20425.04,54,6.828294
-20566.252,65,6.876467
-20472.254,59,6.908439
-20649.535,72,7.010314
-21084.564,128,7.06291
-20863.752,93,7.066907
-21357.451,148,7.331039
-21718.703,209,7.450964
-22436.65,338,7.695181
-21309.053,206,7.778918
-21192.578,215,7.876591
-21531.906,247,8.057137
-21439.752,242,8.121581
-20985.145,132,8.251508
-21343.89,282,8.290147
-22664.059,395,8.737176
-22600.975,425,8.901454
-23069.605,474,9.00153
-21457.86,218,9.035912
-21200.768,162,9.122811
-21032.053,148,9.205393
-20998.586,168,9.266559
-20965.578,129,9.292472
-21002.16,119,9.466948
-21060.656,177,9.525777
-20987.582,114,9.6462
-21375.729,327,9.682301
-21621.447,166,9.785582
-20970.062,107,9.812763
-21055.334,126,9.875098
-20927.41,166,10.138055
-21681.379,232,10.196727
-20586.207,65,10.257943
-22014.566,332,10.312545
-21346.283,163,10.425867
-21073.879,109,10.467325
-21159.918,162,10.482924
-20892.232,97,10.638945
-21028.807,117,10.646462
-20501.021,58,10.717508
-20776.568,99,10.779537
-20374.555,49,10.780539
-21721.184,269,10.821543
-20422.023,54,10.862111
-20426.234,54,10.86411
-20495.938,62,10.910238
-20412.326,53,10.951052
-20486.777,60,10.959108
-20429.22,54,10.998715
-20333.719,46,11.02274
-20465.703,59,11.038305
-20559.07,64,11.088268
-20473.59,58,11.106313
-20471.56,58,11.118827
-20407.777,52,11.162943
-20435.654,55,11.182972
-20684.535,75,11.233162
-20475.164,57,11.251176
-20467.342,58,11.270201
-20303.305,43,11.309913
-20452.684,57,11.309913
-20565.432,63,11.358397
-20335.383,46,11.374929
-20595.379,65,11.402095
-20431.031,55,11.452188
-20603.451,71,11.460716
-20318.637,44,11.461718
-20399.262,52,11.522229
-20336.357,46,11.527736
-20433.838,54,11.538251
-20401.33,52,11.595399
-20447.912,57,11.605916
-20396.848,52,11.606917
-20361.97,48,11.662997
-20349.074,47,11.670505
-20356.0,48,11.673502
-20337.393,46,11.728632
-20335.508,46,11.736149
-20318.172,44,11.736149
-20349.219,47,11.802745
-20309.92,43,11.805253
-20371.006,49,11.815259
-20415.883,53,11.883144
-20359.162,48,11.884144
-20467.66,57,11.884144
-20378.555,50,11.952955
-20403.277,52,11.953464
-20414.412,53,11.953464
-20408.957,52,12.021778
-20420.45,54,12.02678
-20508.365,61,12.034294
-20402.21,52,12.094462
-20360.443,48,12.101461
-20601.738,70,12.120491
-20413.055,53,12.160994
-20412.879,53,12.171033
-20430.352,54,12.207376
-20381.156,50,12.260796
-20315.43,44,12.261795
-20386.912,50,12.30566
-20318.809,44,12.333581
-20427.68,53,12.345098
-20448.39,56,12.376067
-20338.902,46,12.389577
-20309.803,43,12.401598
-20316.635,44,12.442075
-20328.084,45,12.456489
-20339.826,46,12.466997
-20406.656,53,12.506543
-20307.875,43,12.527351
-20393.674,51,12.530865
-20432.527,55,12.585353
-20358.078,48,12.590351
-20390.566,51,12.596866
-20319.43,44,12.669576
-20327.725,45,12.675575
-20494.389,59,12.701125
-20385.236,50,12.750208
-20518.66,61,12.759736
-20502.955,61,12.792287
-20373.803,49,12.819837
-20459.477,56,12.837348
-20326.293,45,12.856426
-20422.87,53,12.893544
-20390.354,51,12.910057
-20434.56,55,12.9286
-20390.873,51,12.963652
-20360.863,48,12.973169
-20386.373,50,12.998196
-20480.066,59,13.037484
-20412.578,53,13.041988
-20403.09,52,13.06205
-20301.887,43,13.102125
-20327.955,45,13.128267
-20535.719,65,13.134267
-20471.143,58,13.180346
-20346.492,47,13.193395
-20381.453,50,13.200396
-20334.018,46,13.240447
-20296.012,42,13.255042
-20409.893,53,13.26005
-20402.045,52,13.308636
-20434.809,54,13.328457
-20424.207,54,13.333971
-20318.78,44,13.368036
-20372.518,49,13.401302
-20416.768,53,13.411815
-20359.53,48,13.437353
-20278.732,40,13.469696
-20419.352,54,13.477703
-20373.639,49,13.512767
-20268.42,39,13.53738
-20328.748,45,13.53738
-20299.418,42,13.573465
-20285.213,41,13.595023
-20295.09,42,13.597537
-20339.555,46,13.647187
-20259.46,38,13.655221
-20258.578,38,13.65922
-20275.012,40,13.701287
-20276.895,40,13.70979
-20329.803,45,13.719304
-20267.35,39,13.75934
-20275.252,40,13.767844
-20325.9,45,13.78437
-20268.771,39,13.810916
-20266.645,39,13.821432
-20288.271,41,13.845461
-20325.86,45,13.879027
-20305.473,43,13.885542
-20269.26,39,13.89705
-20288.223,41,13.931576
-20269.273,39,13.936575
-20308.973,43,13.959107
-20299.707,42,13.989644
-20296.637,42,13.995158
-20278.29,40,14.007673
-20306.992,43,14.046306
-20299.385,42,14.049303
-20368.17,49,14.092461
-20266.64,39,14.116494
-20288.42,41,14.122008
-20316.951,44,14.148858
-20296.139,42,14.196981
-20287.62,41,14.206497
-20316.88,44,14.249139
-20278.832,40,14.267167
-20268.434,39,14.279189
-20269.31,39,14.313392
-20288.129,41,14.340432
-20362.686,48,14.346946
-20340.836,46,14.38004
-20296.81,42,14.399647
-20275.473,40,14.404644
-20287.418,41,14.439
-20266.96,39,14.453605
-20305.012,43,14.458128
-20328.607,45,14.497195
-20287.148,41,14.513704
-20286.56,41,14.516066
-20349.447,47,14.564419
-20308.383,43,14.57092
-20326.635,45,14.575919
-20317.818,44,14.625929
-20298.531,42,14.629927
-20307.55,43,14.638439
-20298.418,42,14.687536
-20379.598,50,14.69504
-20351.182,47,14.701046
-20308.924,43,14.746958
-20279.098,40,14.749465
-20329.43,45,14.764047
-20315.562,44,14.809889
-20365.393,49,14.812395
-20297.188,42,14.818403
-20284.992,41,14.86919
-20318.299,44,14.876699
-20308.889,43,14.882717
-20296.896,42,14.924343
-20337.31,46,14.937861
