#{"t_start": 1716641042.527058, "env_id": "None"}
r,l,t
-129.0,131,7.443544
-177.0,179,7.46308
-183.0,185,7.465258
-138.0,140,7.499829
-104.0,106,7.506827
-189.0,191,7.591229
-361.0,363,7.69524
-195.0,197,7.69724
-388.0,480,7.69724
-96.0,98,7.73385
-142.0,144,7.762904
-111.0,113,7.807139
-157.0,159,7.807139
-305.0,307,7.828716
-111.0,113,7.926683
-139.0,141,7.955573
-117.0,119,8.014325
-214.0,216,8.02384
-327.0,329,8.02384
-80.0,82,8.056908
-90.0,92,8.063431
-163.0,165,8.151567
-246.0,248,8.209208
-344.0,418,8.247548
-141.0,143,8.249549
-92.0,94,8.261082
-86.0,88,8.281936
-243.0,245,8.356444
-264.0,266,8.383691
-353.0,355,8.386691
-120.0,122,8.412238
-116.0,118,8.443042
-110.0,112,8.444037
-95.0,97,8.450552
-96.0,98,8.479123
-127.0,129,8.491485
-116.0,118,8.494484
-204.0,206,8.560772
-190.0,192,8.57231
-286.0,288,8.622301
-94.0,96,8.626934
-333.0,335,8.710774
-231.0,233,8.719037
-294.0,296,8.73626
-81.0,83,8.739258
-80.0,82,8.772364
-171.0,177,8.825153
-235.0,237,8.827152
-115.0,117,8.868332
-316.0,318,8.911032
-270.0,272,8.926247
-248.0,304,9.043669
-185.0,187,9.059213
-200.0,202,9.149429
-482.0,484,9.171466
-97.0,99,9.187007
-97.0,99,9.206061
-500.0,500,9.246443
-120.0,122,9.319097
-116.0,118,9.359208
-409.0,411,9.361209
-441.0,443,9.407876
-136.0,138,9.447988
-138.0,140,9.485156
-229.0,231,9.546827
-407.0,409,9.56639
-120.0,122,9.596014
-140.0,142,9.622778
-131.0,133,9.668566
-428.0,430,9.688628
-129.0,131,9.70116
-72.0,74,9.723738
-180.0,182,9.755884
-93.0,95,9.7644
-97.0,99,9.815781
-254.0,256,9.819782
-137.0,139,9.821292
-162.0,164,9.885597
-241.0,243,9.916051
-126.0,128,9.951179
-231.0,297,9.957187
-152.0,154,9.999317
-125.0,127,10.030913
-151.0,153,10.046961
-105.0,107,10.07265
-152.0,154,10.101963
-234.0,236,10.105964
-154.0,156,10.136677
-144.0,146,10.174195
-78.0,80,10.208302
-323.0,325,10.282038
-112.0,114,10.284048
-389.0,391,10.351789
-224.0,226,10.395875
-260.0,262,10.502521
-298.0,366,10.505039
-94.0,500,10.507047
-157.0,159,10.56819
-174.0,176,10.579225
-183.0,185,10.582246
-100.0,102,10.624911
-95.0,97,10.635438
-81.0,83,10.66149
-105.0,107,10.678532
-218.0,220,10.68253
-164.0,166,10.74468
-150.0,152,10.7572
-82.0,84,10.7747
-253.0,255,10.799276
-139.0,141,10.845891
-233.0,235,10.87097
-132.0,134,10.875972
-143.0,145,10.939816
-181.0,229,10.989951
-295.0,297,11.077138
-284.0,500,11.081649
-93.0,95,11.113751
-102.0,104,11.127285
-328.0,330,11.139811
-88.0,90,11.189441
-171.0,173,11.231025
-151.0,153,11.236026
-147.0,149,11.260066
-162.0,164,11.304159
-138.0,140,11.358657
-271.0,273,11.377192
-99.0,101,11.448384
-410.0,500,11.461907
-124.0,126,11.517471
-315.0,317,11.523482
-258.0,260,11.559038
-229.0,231,11.633513
-260.0,262,11.641032
-180.0,182,11.647552
-96.0,98,11.714239
-232.0,234,11.793078
-143.0,145,11.806125
-267.0,269,11.825186
-150.0,152,11.875819
-114.0,116,11.878816
-71.0,73,11.908369
-304.0,306,11.933465
-96.0,98,11.955515
-204.0,206,11.986725
-103.0,105,12.022842
-134.0,136,12.063504
-331.0,333,12.115071
-229.0,231,12.134606
-178.0,180,12.143127
-138.0,140,12.171341
-210.0,212,12.244151
-167.0,169,12.254687
-313.0,315,12.280745
-98.0,100,12.298794
-120.0,122,12.363487
-253.0,255,12.395077
-217.0,219,12.489408
-376.0,378,12.50394
-149.0,151,12.573584
-458.0,500,12.591638
-252.0,254,12.718767
-215.0,217,12.72429
-500.0,500,12.763615
-141.0,143,12.805758
-217.0,219,12.834413
-140.0,142,12.9002
-139.0,141,12.97432
-438.0,500,13.024465
-114.0,116,13.050047
-500.0,500,13.066088
-165.0,167,13.107819
-90.0,92,13.149601
-220.0,222,13.156639
-271.0,273,13.194365
-131.0,133,13.211885
