#{"t_start": 1716648255.1611516, "env_id": "None"}
r,l,t
-104.0,106,6.596174
-203.0,205,6.843051
-177.0,179,6.947519
-431.0,433,7.218084
-416.0,418,7.608747
-89.0,91,7.70091
-500.0,500,7.783021
-462.0,500,8.060775
-239.0,241,8.203122
-373.0,375,8.290278
-149.0,151,8.582827
-372.0,402,8.924295
-500.0,500,8.929178
-245.0,247,8.991251
-128.0,130,9.082936
-187.0,189,9.191178
-163.0,165,9.498294
-108.0,110,9.632101
-455.0,457,9.699735
-80.0,82,9.737839
-500.0,500,15.49278
-136.0,138,15.685159
-237.0,289,15.781008
-207.0,363,15.952389
-80.0,82,16.005461
-171.0,173,16.045578
-115.0,117,16.123452
-140.0,142,16.213675
-122.0,124,16.234257
-153.0,155,16.439731
-93.0,95,16.574676
-194.0,196,16.597713
-94.0,96,16.898343
-327.0,329,16.965495
-222.0,224,17.06378
-131.0,133,17.081311
-83.0,85,17.175467
-111.0,113,17.345925
-91.0,93,17.398552
-219.0,249,17.398552
-93.0,95,17.453471
-147.0,149,17.647972
-207.0,209,17.667017
-263.0,265,17.843964
-77.0,79,17.850966
-120.0,122,18.000799
-164.0,166,18.066937
-276.0,280,18.131022
-150.0,152,18.355028
-257.0,333,18.54707
-231.0,233,18.550079
-106.0,108,18.827673
-248.0,250,18.838192
-144.0,146,18.861222
-82.0,84,18.940496
-131.0,133,19.014061
-94.0,96,19.093839
-214.0,216,24.739408
-181.0,183,24.822896
-233.0,235,24.96051
-173.0,175,24.96251
-144.0,146,25.002567
-69.0,71,25.103829
-121.0,123,25.19607
-87.0,89,25.234127
-165.0,167,25.292176
-105.0,107,25.319202
-125.0,127,25.449918
-101.0,103,25.451917
-77.0,79,25.63349
-110.0,112,25.760929
-220.0,222,25.798466
-131.0,395,25.800984
-123.0,125,25.916608
-175.0,177,26.139233
-97.0,99,26.152267
-60.0,62,26.217267
-69.0,71,26.245807
-266.0,268,26.252317
-68.0,70,26.360618
-89.0,91,26.494952
-81.0,83,26.558968
-137.0,139,26.571482
-134.0,136,26.680195
-121.0,123,26.717255
-149.0,151,26.741811
-93.0,95,26.902775
-189.0,191,27.008523
-157.0,159,27.035089
-89.0,91,27.043621
-93.0,95,27.122752
-77.0,79,27.141808
-161.0,163,27.23322
-87.0,89,27.23922
-114.0,116,27.391103
-76.0,78,27.430176
-90.0,92,27.448757
-108.0,110,27.563852
-122.0,124,27.598401
-81.0,83,27.681645
-242.0,244,27.696157
-96.0,98,27.834997
-60.0,62,27.866549
-71.0,73,27.866549
-93.0,95,33.826499
-75.0,77,33.838532
-85.0,87,33.848058
-85.0,87,33.997339
-92.0,94,34.025828
-150.0,152,34.217296
-97.0,99,34.23237
-95.0,97,34.245935
-74.0,76,34.339104
-105.0,107,34.363139
-79.0,81,34.366649
-68.0,70,34.463797
-80.0,82,34.47531
-128.0,130,34.510472
-73.0,75,34.664331
-64.0,66,34.694021
-60.0,62,34.730114
-81.0,83,34.804743
-56.0,58,34.80974
-194.0,196,34.821254
-75.0,77,34.907946
-71.0,73,34.917463
-102.0,104,34.936497
-52.0,54,35.103867
-81.0,83,35.124886
-102.0,104,35.141927
-94.0,96,35.232558
-85.0,87,35.237556
-126.0,128,35.325583
-86.0,88,35.369181
-102.0,104,35.391003
-102.0,104,35.547371
-85.0,87,35.573514
-110.0,112,35.616596
-94.0,96,35.668708
-83.0,85,35.682233
-66.0,68,35.759822
-64.0,66,35.762333
-133.0,135,35.787376
-65.0,67,35.995378
-69.0,71,35.996881
-80.0,82,36.101506
-135.0,137,36.112017
-88.0,90,36.113017
-68.0,70,36.206138
-85.0,87,36.216652
-84.0,86,36.319523
-93.0,95,36.320523
-141.0,173,36.331037
-78.0,80,36.514969
-73.0,75,36.519474
-91.0,93,36.52949
-63.0,65,36.59815
-75.0,77,36.607676
-77.0,79,36.622942
-82.0,84,36.70558
-91.0,93,36.740817
-146.0,148,36.889188
-89.0,91,36.915032
-95.0,97,36.955123
-89.0,91,37.021823
-75.0,77,37.027827
-79.0,81,37.072893
-68.0,70,37.107963
-83.0,85,37.128002
-71.0,73,37.260304
-64.0,66,37.271826
-113.0,115,37.308912
-71.0,73,42.858176
-91.0,93,42.867687
-99.0,101,42.880216
-53.0,55,42.932782
-70.0,72,42.964842
-63.0,65,42.969845
-64.0,66,43.187927
-63.0,65,43.191931
-56.0,58,43.252019
-58.0,60,43.264037
-170.0,172,43.289101
-61.0,63,43.345675
-75.0,77,43.354695
-76.0,78,43.390769
-56.0,58,43.419477
-60.0,62,43.436515
-58.0,60,43.463041
-68.0,70,43.502912
-59.0,61,43.592115
-53.0,55,43.62869
-73.0,75,43.690898
-82.0,84,43.696896
-68.0,70,43.703417
-53.0,55,43.772051
-59.0,61,43.77305
-71.0,73,43.803576
-55.0,57,43.837123
-48.0,50,43.85568
-76.0,78,43.860188
-67.0,69,43.926314
-60.0,62,43.944336
-65.0,67,43.945343
-61.0,63,44.104681
-80.0,82,44.169859
-92.0,94,44.183377
-74.0,76,44.215958
-62.0,64,44.243541
-58.0,60,44.254053
-88.0,90,44.335167
-68.0,70,44.349185
-81.0,83,44.354201
-56.0,58,44.414827
-60.0,62,44.473464
-71.0,73,44.521075
-70.0,72,44.584698
-112.0,114,44.654778
-58.0,60,44.659801
-102.0,104,44.661809
-60.0,62,44.73497
-73.0,75,44.75752
-77.0,79,44.759519
-68.0,70,44.826316
-59.0,61,44.838844
-87.0,89,44.879422
-65.0,67,45.078477
-60.0,62,45.114586
-126.0,128,45.146815
-93.0,95,45.186422
-66.0,68,45.196943
-66.0,68,45.237007
-60.0,62,45.257571
-91.0,93,45.318337
-68.0,70,45.334357
-64.0,66,45.353396
-64.0,66,45.476233
-49.0,51,45.516331
-83.0,85,45.537352
-60.0,62,45.566407
-85.0,87,45.625071
-59.0,61,45.653615
-90.0,92,45.655617
-88.0,90,45.744866
-80.0,82,45.763919
-84.0,86,45.76792
-75.0,77,45.95484
-63.0,65,45.961898
-97.0,99,45.996444
-67.0,69,46.031003
-80.0,82,46.039531
-64.0,66,46.119948
-58.0,60,46.122968
-113.0,115,46.139501
-63.0,65,52.000414
-67.0,69,52.001414
-58.0,60,52.011944
-53.0,55,52.076578
-67.0,69,52.089093
-61.0,63,52.093596
-63.0,65,52.145698
-51.0,53,52.147206
-55.0,57,52.155223
-48.0,50,52.216834
-48.0,50,52.226346
-56.0,58,52.227344
-50.0,52,52.379704
-51.0,53,52.388227
-53.0,55,52.391228
-56.0,58,52.458863
-66.0,68,52.460863
-60.0,62,52.468367
-54.0,56,52.529455
-62.0,64,52.537973
-56.0,58,52.53997
-52.0,54,52.613469
-67.0,69,52.621983
-64.0,66,52.626982
-43.0,45,52.663061
-50.0,52,52.687592
-60.0,62,52.850013
-54.0,56,52.888597
-49.0,51,52.906626
-93.0,95,52.955706
-56.0,58,52.955706
-59.0,61,52.981784
-64.0,66,53.036401
-66.0,68,53.048919
-53.0,55,53.057437
-49.0,51,53.102025
-53.0,55,53.11255
-51.0,53,53.121073
-50.0,52,53.170666
-58.0,60,53.267456
-52.0,54,53.270464
-49.0,51,53.342398
-46.0,48,53.35392
-54.0,56,53.360921
-47.0,49,53.395507
-50.0,52,53.424527
-63.0,65,53.431044
-47.0,49,53.454083
-51.0,53,53.496176
-47.0,49,53.499176
-55.0,57,53.534247
-49.0,51,53.559295
-55.0,57,53.569804
-57.0,59,53.616403
-57.0,59,53.640955
-64.0,66,53.659489
-58.0,60,53.786321
-66.0,68,53.82136
-54.0,56,53.824376
-53.0,55,53.847017
-48.0,50,53.87498
-58.0,60,53.927039
-87.0,89,53.937562
-58.0,60,53.960088
-52.0,54,53.996168
-50.0,52,54.001166
-62.0,64,54.04321
-47.0,49,54.068762
-52.0,54,54.070762
-59.0,61,54.200547
-48.0,50,54.21207
-59.0,61,54.225596
-47.0,49,54.265653
-65.0,67,54.296576
-58.0,60,54.301573
-61.0,63,54.340196
-50.0,52,54.366742
-62.0,64,54.384445
-49.0,51,54.431839
-69.0,71,54.435839
-58.0,60,54.459875
-61.0,63,54.515452
-63.0,65,54.523462
-69.0,71,54.614713
-51.0,53,54.696889
-61.0,63,54.712425
-67.0,69,54.763059
-50.0,52,54.772565
-58.0,60,54.783598
-58.0,60,54.845727
-49.0,51,54.846739
-76.0,78,54.928872
-52.0,54,54.947902
-67.0,69,54.968926
-53.0,55,54.994984
-54.0,56,55.085737
-71.0,73,55.146788
-50.0,52,55.173664
-65.0,67,55.173664
-46.0,48,55.221737
-66.0,68,55.222736
-75.0,77,55.252829
-54.0,56,55.295419
-57.0,59,55.301423
-54.0,56,55.330494
-64.0,66,60.761332
-63.0,65,60.765835
-53.0,55,60.78236
-50.0,52,60.908796
-50.0,52,60.913797
-49.0,51,60.929834
-50.0,52,60.971909
-51.0,53,60.975907
-46.0,48,60.986947
-47.0,49,61.029817
-54.0,56,61.040329
-56.0,58,61.05084
-46.0,48,61.092398
-49.0,51,61.10842
-63.0,65,61.138959
-45.0,47,61.149575
-55.0,57,61.175541
-50.0,52,61.206613
-52.0,54,61.217138
-47.0,49,61.242195
-57.0,59,61.369051
-55.0,57,61.377561
-44.0,46,61.384564
-44.0,46,61.427418
-53.0,55,61.428425
-49.0,51,61.441939
-49.0,51,61.488503
-51.0,53,61.489503
-43.0,45,61.497015
-47.0,49,61.556114
-52.0,54,61.559112
-51.0,53,61.565618
-44.0,46,61.611296
-44.0,46,61.615298
-43.0,45,61.627813
-47.0,49,61.675373
-46.0,48,61.679375
-52.0,54,61.690403
-48.0,50,61.868385
-53.0,55,61.877901
-54.0,56,61.889421
-48.0,50,61.955439
-63.0,65,61.982977
-73.0,75,62.009545
