#{"t_start": 1716624963.8867364, "env_id": "None"}
r,l,t
5.124223,254,6.738879
9.13669,295,6.808016
11.561057,500,7.220739
0.5482001,230,7.587539
2.658751,490,7.610572
1.2203207,500,7.696826
2.307723,492,8.532868
6.0927773,500,8.588594
6.0233426,500,8.670758
0.722641,183,8.923033
3.6158724,256,9.008374
1.9774433,185,9.375781
8.976636,500,9.589264
10.68446,439,9.705696
1.4993148,74,9.708704
1.6695805,70,9.816951
3.9631224,332,9.911891
1.0060346,80,9.969446
1.650226,67,10.050643
0.8834797,83,10.11474
1.988354,66,10.157287
2.3644342,62,10.2766
9.168464,295,10.280598
1.7988579,66,10.341424
2.7494662,53,10.373489
3.0647597,55,10.381008
3.2517679,59,10.444671
2.716723,53,10.466585
2.1660097,57,10.480606
3.2832687,52,10.526169
3.911847,45,10.546747
2.8792326,51,10.570276
3.4091234,52,10.61885
3.7678375,46,10.61985
3.7458587,44,10.642872
4.1555457,42,10.693964
4.0360093,41,10.693964
3.9049578,42,10.720229
4.175012,39,10.761777
3.7740505,43,10.768238
3.8278105,41,10.79381
4.0149703,38,10.834506
3.9042764,39,10.843024
4.056798,39,10.862073
4.1388426,39,10.891838
4.1319857,41,10.909351
3.8947148,40,10.930387
4.0942674,40,10.964237
3.8464513,42,10.983294
4.0105324,39,10.998333
3.807452,42,11.042976
4.220765,41,11.05548
4.094996,43,11.071505
4.014886,40,11.113673
4.005191,44,11.135207
4.0082335,44,11.186909
3.9389663,41,11.2546
4.1144214,42,11.286052
3.9380956,43,11.305699
3.7756512,46,11.346941
3.9945133,41,11.360978
3.917012,42,11.378006
4.2210255,44,11.423091
3.9277835,46,11.440132
3.8497577,43,11.46015
3.7913446,43,11.506724
4.069718,43,11.530254
3.7982929,41,11.54578
4.1817856,40,11.596616
4.1768193,41,11.613127
3.6504986,41,11.62264
4.1940155,41,11.677741
4.104693,42,11.702531
4.114688,41,11.713048
3.6726875,44,11.77504
3.7704694,43,11.798766
4.0936275,42,11.811291
3.867823,46,11.897048
3.6473484,45,11.922359
4.081237,43,11.926887
4.2749324,43,12.049796
4.057189,43,12.068839
4.0469694,43,12.084363
3.9031594,44,12.144975
4.124358,42,12.164022
3.8318107,43,12.172042
3.9554365,45,12.240742
4.195007,44,12.25526
3.915198,46,12.264771
3.978824,42,12.365676
3.927667,44,12.3832
4.1504936,43,12.401255
4.1398187,43,12.449863
3.9529512,45,12.473195
4.3820496,44,12.479701
4.205193,46,12.53281
4.112033,42,12.546329
4.1173763,42,12.552329
4.3644066,47,12.623657
4.4154787,46,12.634168
4.2305064,47,12.643684
3.8938553,49,12.724411
4.0302544,46,12.727925
4.393613,45,12.736433
4.1321144,48,12.808044
4.3947983,47,12.812556
4.386453,45,12.814556
4.36049,49,12.893427
4.792905,48,12.893427
3.5253723,51,12.902943
3.9927597,48,12.992724
4.072438,50,12.994733
4.2654886,50,13.008043
4.4347296,43,13.115291
4.6369057,51,13.116291
4.2475023,52,13.118876
4.631704,46,13.208531
4.5878754,47,13.208531
4.8220077,47,13.216053
4.771784,47,13.342966
4.3201203,52,13.353482
4.8913207,52,13.356003
4.729554,49,13.437893
225.69325,500,14.271118
225.5491,500,14.282835
227.3005,500,14.364417
4.2222915,59,14.527029
75.42523,252,14.765834
101.72559,285,14.811418
67.05596,183,14.825939
65.208275,162,15.016798
55.272808,149,15.066491
85.809494,181,15.09754
33.853313,114,15.210262
35.93707,116,15.25434
4.440127,42,15.282858
39.65445,116,15.29037
4.596856,45,15.331425
4.255251,40,15.359964
4.4513445,42,15.371477
4.4545507,42,15.43809
4.586768,44,15.478237
4.4878154,43,15.488298
4.5243444,46,15.530354
4.5684547,45,15.548876
4.4511666,43,15.554999
4.7636127,46,15.607071
4.4661803,46,15.623537
4.6769514,45,15.628048
4.391634,42,15.690643
4.5656977,45,15.691643
4.6567307,45,15.758563
4.6126246,44,15.758563
33.576946,118,15.780594
4.6750484,47,15.855212
4.5648127,47,15.855212
4.3954973,41,15.934357
31.529581,111,15.989845
4.5831594,44,15.997852
32.76923,111,16.043433
4.32933,42,16.066468
4.3243623,41,16.104246
4.5442166,43,16.1348
33.591072,113,16.174357
4.4589267,43,16.175863
4.3803906,42,16.203406
4.5738096,44,16.249119
4.2235675,40,16.278718
4.5122805,43,16.324776
32.366135,114,16.378846
31.999826,112,16.474292
38.551807,117,16.528397
